"Better a diamond with a flaw than a pebble without.","Confucius"
"Study the past if you want to define the future.","Confucius"
"Wheresoever you go - go with all your heart.","Confucius"
"Forget injuries and never forget kindnesses.","Confucius"
"He who learns but does not think is lost. He who thinks but does not learn is in great danger.","Confucius"
"Life is really simple but we insist on making it complicated.","Confucius"
"Be not ashamed of mistakes and thus make them crimes.","Confucius"
"Choose a job you love and you will never have to work a day in your life.","Confucius"
